program_label,program,entities,code,number_reported,rent_per_month,hh_income,tpoverty,treatment,year,post,poverty_indicator
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018700,48113018700,16,377,14289,21,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018801,48113018801,11,584,22354,19,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018802,48113018802,110,370,13522,14,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113018900,48113018900,18,616,17457,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019004,48113019004,28,513,18013,11,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019013,48113019013,68,402,13146,33,1,2022,1,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019014,48113019014,41,510,16488,20,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019018,48113019018,58,334,12533,17,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019019,48113019019,39,418,15120,32,1,2022,1,1
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019020,48113019020,13,658,24302,11,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019021,48113019021,24,730,25101,15,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019023,48113019023,13,433,16212,1,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019024,48113019024,46,704,23509,8,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019025,48113019025,14,805,20686,3,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019027,48113019027,45,539,16480,13,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019028,48113019028,24,661,25236,13,1,2022,1,0
Housing Choice Vouchers,3,TX Texas 113 Dallas County 48113019029,48113019029,50,797,28774,7,1,2022,1,0
